customer_id,name,email,phone,address,city
C02658,Rehaan Mahajan,,,35 Shetty,
,Lekha Mitra,,,,
,,,,,
,Ekansh Sodhi,,,,
,,,,,Vadodara
C02957,Divya Char,divya.char2957@yahoo.com,6450533098,29/327 Devi Street,Kumbakonam
N00085,Warjas Kata,warjas.kata3085@gmail.com,7696195872,"011, Shan Nagar",Morbi
N00260,Raagini Bassi,raagini.bassi3260@yahoo.com,8998534235,H.No. 91 Kakar Chowk,Ghaziabad
,Yamini Roy,,,46 Solanki Ganj,Panvel
N00235,Karan Viswanathan,karan.viswanathan3235@hotmail.com,7861827888,H.No. 30 Chandran Ganj,Karimnagar
C01131,Faris Pal,,,"77, Dave Street",
C01529,Kevin Mannan,,8082066985,,
C01165,Ikshita Swamy,ekalinga.narayanan48812@example.in,8014527723,H.No. 977 Morar,Udupi
C00958,Siya Kaur,siya.kaur958@yahoo.com,6863800006,"91/94, Narayan Street",Vijayanagaram
,,,,,
C01580,Mekhala Golla,mekhala.golla1580@example.in,7526250384,434 Kar Circle,Durg
C01522,Upasna Bhat,upasna.bhat1522@gmail.com,7124097814,15 Chahal Road,Dhanbad
,Madhavi Agate,,,,
C02101,Nitara Saxena,nitara.saxena2101@yahoo.com,7355778293,26/99 Mani Chowk,Solapur
N00208,Diya Dube,diya.dube3208@example.in,6458138370,534 Venkatesh Nagar,Sri Ganganagar
,Ayushman Sant,,,"11/826, Pai Circle",Raichur
,Darpan Bhatnagar,,,,
C01076,Upadhriti Atwal,upadhriti.atwal1076@gmail.com,9903709496,88/002 Manda Road,Panvel
C00878,Gautami Bedi,gautami.bedi878@outlook.com,9387155829,"70/52, Chaudry Marg",Rourkela
N00381,Anthony Bail,anthony.bail3381@yahoo.com,9204566863,"41, Morar Road",Belgaum
C02666,Adya Yadav,omkaar.salvi2666@yahoo.com,9960209067,"57/92, Tailor Chowk",Jalgaon
C01759,Maanas Ben,maanas.ben1759@example.in,8327069035,61/623 Chaudhuri Street,Kota
N00386,Brinda Gole,brinda.gole3386@yahoo.com,7621767353,H.No. 108 Bava,Tadipatri
C02424,Chanakya Kumar,chanakya.kumar2424@outlook.com,8771308976,"33/07, Karpe Path",Yamunanagar
,,,,,
C02747,Joshua Saran,ekiya.krishna25704@hotmail.com,9130212412,72/43 Loyal Street,Kumbakonam
,DARSH KATA,,6612746349,H.No. 057 Goda Street,Bettiah
C01675,Raagini Keer,raagini.keer1675@example.in,,,Ambattur
,Bhavika Bobal,,,,
N00034,Aadi Mody,aadi.mody3034@gmail.com,9867472224,"71/322, Patla Road",South Dumdum
C00856,Luke Sane,luke.sane856@gmail.com,8440833518,,Karimnagar
C02801,Prisha Gola,prisha.gola2801@yahoo.com,6501023127,55/602 Rout Road,Kolhapur
,Joshua Lala,,,,
C02559,Karan Shah,dev.natt2559@yahoo.com,6418572881,57/94 Rai Chowk,Khammam
N00159,Yuvraj Chatterjee,yuvraj.chatterjee3159@hotmail.com,6923954342,"47/613, D’Alia Chowk",Eluru
C02714,Vaishnavi Ahluwalia,sudiksha.chauhan63058@hotmail.com,9057892356,"H.No. 728, Radhakrishnan",Arrah
